pairs,pairs_freq,before,before_freq,after,after_freq,trios,trios_freq,unk_trios,unk_trios_freq
𐙂𐘁,23,𐝫𐝫,189,𐝫𐝫,565,𐘇𐘳𐘚,10,𐝫𐝫𐝫,41
𐘇𐘳,14,𐄁𐝫, 90,𐝫𐄁, 84,𐄁𐘃𐄁, 7,𐄇𐝫𐝫,27
𐄁𐘇,13,𐄇𐝫, 57,𐝫𐘱, 21,𐙕𐘮𐘱, 7,𐄈𐝫𐝫,14
𐘚𐙕,13,𐄈𐝫, 40,𐝫—, 20,𐘱𐘞𐘞, 6,𐄊𐝫𐝫,12
𐘠𐄁,13,𐄉𐝫, 37,𐝫𐄇, 19,𐘆𐘅𐘉, 5,𐘇𐝫𐝫,12
𐄁𐘃,12,𐄊𐝫, 27,𐝫𐄈, 18,𐘇𐘬𐄁, 5,𐄉𐝫𐝫,10
𐄁𐘱,12,𐝆𐝫, 27,𐝫𐘚, 17,𐘴𐘋𐄁, 4,𐘸𐝫𐝫,10
𐄐𐄋,12,𐘤𐝫, 24,𐝫𐘤, 16,𐘸𐘙𐘳, 4,𐘝𐝫𐝫, 9
𐘃𐄁,12,𐘱𐝫, 24,𐝫𐄉, 15,𐙂𐘰𐘯, 4,𐝉𐝫𐝫, 9
𐘇𐘬,12,𐄋𐝫, 23,𐝫𐘇, 15,𐄁𐘚𐘱, 3,𐝃𐝫𐝫, 8
𐘱𐘞,12,—𐝫, 22,𐝫𐙂, 15,|||, 3,𐝆𐝫𐝫, 8
𐄇𐝆,11,𐘇𐝫, 22,𐝫𐘃, 14,𐄓𐄉𐝆, 3,𐄐𐝫𐝫, 7
²⁰,10,𐙗𐝫, 21,𐝫𐘅, 13,𐘂𐘱𐘙, 3,𐄍𐝫𐝫, 7
𐘙𐄇,10,𐄌𐝫, 19,𐝫𐄐, 12,𐘇𐘈𐄁, 3,𐘗𐝫𐝫, 7
𐘳𐘅,10,𐘅𐝫, 19,𐝫𐘙, 11,𐘇𐘞𐘞, 3,𐘙𐝫𐝫, 7
𐄁𐘚, 9,𐘂𐝫, 18,𐝫𐘸, 11,𐘇𐘾𐘘, 3,𐘤𐝫𐝫, 7
𐄁𐙉, 9,𐘝𐝫, 16,𐝫𐘻, 11,𐘉𐘅𐘘, 3,𐘳𐝫𐝫, 7
𐄐𐄈, 9,𐘾𐝫, 16,𐝫𐘾, 11,𐘉𐘅𐘾, 3,𐙗𐝫𐝫, 7
𐄇𐙂, 9,𐄑𐝫, 15,𐝫𐘳, 10,𐘐𐘹𐘗, 3,𐄁𐝫𐄁, 6
𐘞𐘽, 9,𐘗𐝫, 15,𐝫𐝆, 10,𐘚𐙕𐘮, 3,𐄋𐝫𐝫, 6
