pair_1,pair_1_freq,pair_2,pair_2_freq,pair_3,pair_3_freq,pair_4,pair_4_freq,pair_5,pair_5_freq,pair_6,pair_6_freq,pair_7,pair_7_freq
𐄇𐝫,57,𐄈𐝫,40,𐄉𐝫,37,𐄊𐝫,27,𐝆—,1,𐘤—, 1,𐘱𐄁,23
𐄇𐙂,20,𐄈𐝆,19,𐄉𐝆, 8,𐄊𐙂, 8,𐝆𐄁,1,𐘤𐄁,12,𐘱𐄐, 1
𐄇𐝆,17,𐄈𐙂, 6,𐄉𐘾, 5,𐄊𐝆, 5,𐝆𐘀,2,𐘤𐄐, 2,𐘱𐄑, 3
𐄇𐘇,14,𐄈𐝃, 6,𐄉𐘇, 4,𐄊𐘇, 4,𐝆𐘂,4,𐘤𐄒, 1,𐘱𐄇, 5
𐄇—,12,𐄈𐘆, 5,𐄉𐘀, 3,𐄊𐘸, 4,𐝆𐘃,2,𐘤𐄇, 3,𐘱𐄈, 1
𐄇𐘂,11,𐄈𐘌, 5,𐄉𐘚, 3,𐄊𐘝, 3,𐝆𐘄,1,𐘤¹, 1,𐘱𐄉, 1
𐄇𐘀,10,𐄈—, 4,𐄉𐘝, 3,𐄊𐙗, 3,𐝆𐘆,1,𐘤𐄈, 1,𐘱𐄊, 1
𐄇𐙁, 9,𐄈𐘀, 4,𐄉𐘱, 3,𐄊𐝃, 3,𐝆𐘇,3,𐘤𐄉, 4,𐘱𐘀, 1
𐄇𐘹, 6,𐄈𐘂, 4,𐄉𐝃, 3,𐄊𐄁, 2,𐝆𐘉,1,𐘤𐄊, 3,𐘱𐘂, 6
𐄇𐝃, 6,𐄈𐘳, 4,𐄉𐘞, 2,𐄊𐘆, 2,𐝆𐘍,1,𐘤𐄋, 2,𐘱𐘃, 1
𐄇𐘆, 5,𐄈𐙗, 4,𐄉𐘤, 2,𐄊𐘙, 2,𐝆𐘑,1,𐘤𐘀, 6,𐘱𐘄, 1
𐄇𐘤, 5,𐄈𐘞, 3,𐄉𐘬, 2,𐄊𐘞, 2,𐝆𐘕,1,𐘤𐘃, 4,𐘱𐘆, 4
𐄇𐘸, 5,𐄈𐘣, 3,𐄉𐙂, 2,𐄊𐙁, 2,𐝆𐘖,3,𐘤𐘅, 2,𐘱𐘇, 1
𐄇𐘾, 5,𐄈𐘬, 3,𐄉𐙋, 2,𐄊𐛖, 2,𐝆𐘚,2,𐘤𐘆, 3,𐘱𐘈, 3
𐄇𐘃, 4,𐄈𐘾, 3,𐄉𐝂, 2,𐄊𐜙, 2,𐝆𐘝,6,𐘤𐘇, 1,𐘱𐘉, 1
𐄇𐘉, 4,𐄈𐘿, 3,𐄉𐝅, 2,𐄊𐄋, 1,𐝆𐘠,1,𐘤𐘍, 1,𐘱𐘐, 2
𐄇𐘝, 4,𐄈𐙍, 3,𐄉—, 1,𐄊𐘂, 1,𐝆𐘢,1,𐘤𐘘, 9,𐘱𐘕, 1
𐄇𐙍, 4,𐄈𐙘, 3,𐄉𐄙, 1,𐄊𐘅, 1,𐝆𐘤,2,𐘤𐘙, 2,𐘱𐘘, 2
𐄇𐜋, 4,𐄈𐝂, 3,𐄉𐘆, 1,𐄊𐘕, 1,𐝆𐘬,3,𐘤𐘚, 1,𐘱𐘙, 9
𐄇𐘐, 3,𐄈𐝓, 3,𐄉𐘌, 1,𐄊𐘘, 1,𐝆𐘭,1,𐘤𐘝, 2,𐘱𐘚, 2
𐄇𐘘, 3,𐄈𐘇, 2,𐄉𐘍, 1,𐄊𐘛, 1,𐝆𐘱,1,𐘤𐘞, 1,𐘱𐘝, 1
𐄇𐘙, 3,𐄈𐘐, 2,𐄉𐘑, 1,𐄊𐘠, 1,𐝆𐘳,3,𐘤𐘠, 1,𐘱𐘞,17
𐄇𐘭, 3,𐄈𐘘, 2,𐄉𐘖, 1,𐄊𐘤, 1,𐝆𐘵,1,𐘤𐘡, 1,𐘱𐘠, 3
𐄇𐘲, 3,𐄈𐘝, 2,𐄉𐘘, 1,𐄊𐘦, 1,𐝆𐘸,1,𐘤𐘢, 3,𐘱𐘢, 2
𐄇𐘻, 3,𐄈𐘤, 2,𐄉𐘛, 1,𐄊𐘫, 1,𐝆𐘾,3,𐘤𐘤, 1,𐘱𐘣, 1
𐄇𐘿, 3,𐄈𐘰, 2,𐄉𐘠, 1,𐄊𐘱, 1,𐝆𐙁,3,𐘤𐘨, 1,𐘱𐘤, 5
𐄇𐙗, 3,𐄈𐙀, 2,𐄉𐘢, 1,𐄊𐘳, 1,𐝆𐙂,2,𐘤𐘫, 1,𐘱𐘬, 2
𐄇𐙚, 3,𐄈𐙕, 2,𐄉𐘣, 1,𐄊𐘹, 1,𐝆𐙉,1,𐘤𐘬, 3,𐘱𐘮, 3
𐄇𐜗, 3,𐄈𐙖, 2,𐄉𐘳, 1,𐄊𐘺, 1,𐝆𐙓,1,𐘤𐘱, 4,𐘱𐘯, 1
𐄇𐝄, 3,𐄈𐙳, 2,𐄉𐘷, 1,𐄊𐘿, 1,𐝆𐙕,2,𐘤𐘲, 1,𐘱𐘱, 2
𐄇𐝕, 3,𐄈𐝅, 2,𐄉𐘺, 1,𐄊𐙇, 1,𐝆𐙘,4,𐘤𐘳, 1,𐘱𐘲, 3
𐄇𐘅, 2,𐄈𐄉, 1,𐄉𐘽, 1,𐄊𐙍, 1,𐝆𐙚,1,𐘤𐘴, 1,𐘱𐘳, 3
𐄇𐘗, 2,𐄈𐄊, 1,𐄉𐘿, 1,𐄊𐙓, 1,𐝆𐙜,3,𐘤𐘸, 4,𐘱𐘴, 1
𐄇𐘚, 2,𐄈𐘉, 1,𐄉𐙀, 1,𐄊𐙘, 1,𐝆𐙫,1,𐘤𐘹, 3,𐘱𐘸, 4
𐄇𐘞, 2,𐄈𐘗, 1,𐄉𐙍, 1,𐄊𐙟, 1,𐝆𐚇,1,𐘤𐘻, 1,𐘱𐘹, 1
𐄇𐘢, 2,𐄈𐘚, 1,𐄉𐙘, 1,𐄊𐙯, 1,𐝆𐛚,1,𐘤𐘾, 8,𐘱𐘻, 2
𐄇𐘬, 2,𐄈𐘠, 1,𐄉𐙚, 1,𐄊𐚗, 1,𐝆𐛟,1,𐘤𐙀, 3,𐘱𐘾, 2
𐄇𐘱, 2,𐄈𐘦, 1,𐄉𐚤, 1,𐄊𐛑, 1,𐝆𐜉,1,𐘤𐙁, 1,𐘱𐘿, 1
𐄇𐘳, 2,𐄈𐘱, 1,𐄉𐛆, 1,𐄊𐛩, 1,𐝆𐜋,1,𐘤𐙇, 1,𐘱𐙁, 2
𐄇𐘴, 2,𐄈𐘲, 1,𐄉𐛎, 1,𐄊𐛭, 1,𐝆𐜍,1,𐘤𐙈, 6,𐘱𐙂, 3
𐄇𐙘, 2,𐄈𐘵, 1,𐄉𐛓, 1,𐄊𐛹, 1,𐝆𐜎,1,𐘤𐙉, 1,𐘱𐙉, 1
𐄇𐙢, 2,𐄈𐘸, 1,𐄉𐛕, 1,𐄊𐜋, 1,𐝆𐜐,1,𐘤𐙍, 1,𐘱𐙒, 1
𐄇𐛚, 2,𐄈𐘹, 1,𐄉𐛞, 1,𐄊𐜗, 1,𐝆𐜗,2,𐘤𐙖, 1,𐘱𐚅, 1
𐄇𐜙, 2,𐄈𐙁, 1,𐄉𐛧, 1,𐄊𐜛, 1,𐝆𐜝,1,𐘤𐙗, 2,𐘱𐛢, 1
𐄇𐘈, 1,𐄈𐙅, 1,𐄉𐛺, 1,𐄊𐜬, 1,𐝆𐜪,1,𐘤𐙬, 1,𐘱𐜉, 1
𐄇𐘋, 1,𐄈𐙈, 1,𐄉𐜃, 1,𐄊𐜱, 1,𐝆𐝀,1,𐘤𐛀, 1,𐘱𐝂, 1
𐄇𐘌, 1,𐄈𐙉, 1,𐄉𐜉, 1,𐄊𐝀, 1,𐝆𐝁,4,𐘤𐜗, 1,𐘱𐝆, 1
𐄇𐘑, 1,𐄈𐙙, 1,𐄉𐜋, 1,𐄊𐝒, 1,𐝆𐝃,8,𐘤𐜙, 1,𐘱𐝇, 1
