Var1,Freq
𐘇𐘳𐘚,10
𐄁𐘃𐄁, 7
𐙕𐘮𐘱, 7
𐘱𐘞𐘞, 6
𐘆𐘅𐘉, 5
𐘇𐘬𐄁, 5
𐘴𐘋𐄁, 4
𐘸𐘙𐘳, 4
𐙂𐘰𐘯, 4
𐄁𐘚𐘱, 3
|||, 3
𐄓𐄉𐝆, 3
𐘂𐘱𐘙, 3
𐘇𐘈𐄁, 3
𐘇𐘞𐘞, 3
𐘇𐘾𐘘, 3
𐘉𐘅𐘘, 3
𐘉𐘅𐘾, 3
𐘐𐘹𐘗, 3
𐘚𐙕𐘮, 3
𐘝𐄐𐄋, 3
𐘞𐘽𐙗, 3
𐘰𐘯𐄇, 3
𐘻𐘯𐘃, 3
𐘾𐙂𐘂, 3
𐘿𐘽𐘉, 3
𐙂𐘻𐘅, 3
𐄁𐘂𐘦, 2
𐄁𐘇𐘆, 2
𐄁𐘇𐘳, 2
𐄁𐘚𐘅, 2
𐄁𐘚𐘠, 2
𐄁𐘚𐘢, 2
𐄁𐘱𐘞, 2
𐄁𐘱𐘮, 2
𐄁𐙂𐘝, 2
𐄁𐙂𐘰, 2
𐄁𐙛𐄁, 2
𐄇𐘝𐄇, 2
𐄇𐙂𐘁, 2
𐄊𐙂𐘁, 2
𐘀𐘋𐄐, 2
𐘀𐘙𐄇, 2
𐘀𐘿𐘴, 2
𐘁𐙉𐄓, 2
𐘂𐘈𐘱, 2
𐘂𐘳𐘗, 2
𐘂𐘴𐘗, 2
𐘇𐘂𐘴, 2
𐘇𐘤𐘱, 2
𐘇𐘳𐘅, 2
𐘇𐘴𐘹, 2
𐘉𐘟𐘤, 2
𐘊𐘄𐙂, 2
𐘘𐄇𐙂, 2
𐘙𐘍𐄁, 2
𐘚𐘀𐙁, 2
𐘚𐘢𐘅, 2
𐘚𐛭𐄑, 2
𐘝𐄇𐙍, 2
𐘞𐘘𐄑, 2
𐘞𐘴𐘋, 2
𐘞𐘻𐘀, 2
𐘤𐘱𐘈, 2
𐘦𐘘𐄐, 2
𐘬𐘙𐘍, 2
𐘬𐘜𐘙, 2
𐘮𐘆𐘝, 2
𐘱𐄁𐘚, 2
𐘲𐄐𐘆, 2
𐘲𐘸𐘭, 2
𐘲𐛷𐄑, 2
𐘳𐘅𐘚, 2
𐘳𐘚𐙌, 2
𐘳𐘝𐘾, 2
𐘴𐙐𐘠, 2
𐘸𐘀𐘁, 2
𐘸𐘁𐄁, 2
𐘸𐘃𐘃, 2
𐘸𐘭𐘷, 2
𐘻²⁰, 2
𐘾𐄁𐘱, 2
𐘾𐘅𐘤, 2
𐘿𐘠𐄁, 2
𐙀𐘆𐘴, 2
𐙂𐘁𐄙, 2
𐙂𐘈𐘗, 2
𐙖𐙛𐄇, 2
𐙗𐝇𐝉, 2
𐙚𐘳𐘧, 2
𐝃𐘝𐄈, 2
𐝆𐙁𐘾, 2
—||, 1
—𐘂𐘍, 1
—𐘇𐘀, 1
—𐘇𐘬, 1
—𐘇𐙂, 1
—𐘢𐙂, 1
—𐘲𐄇, 1
—𐘳𐘅, 1
—𐘵𐘃, 1
—𐘾𐙙, 1
—𐙁𐘃, 1
𐄁𐄁𐘃, 1
𐄁𐄙𐄎, 1
𐄁𐄋𐝕, 1
𐄁𐘀𐘋, 1
𐄁𐘀𐘭, 1
𐄁𐘀𐘮, 1
𐄁𐘀𐘰, 1
𐄁𐘁𐘌, 1
𐄁𐘂𐚂, 1
𐄁𐘆𐘅, 1
𐄁𐘆𐙗, 1
𐄁𐘇𐘂, 1
𐄁𐘇𐘈, 1
𐄁𐘇𐘙, 1
𐄁𐘇𐘭, 1
𐄁𐘇𐘮, 1
𐄁𐘇𐘺, 1
𐄁𐘇𐙀, 1
𐄁𐘉𐘅, 1
𐄁𐘉𐘦, 1
𐄁𐘉𐘲, 1
