pair_1,pair_1_freq,pair_2,pair_2_freq,pair_3,pair_3_freq,pair_4,pair_4_freq,pair_5,pair_5_freq,pair_6,pair_6_freq,pair_7,pair_7_freq
𐝫𐘱,26,𐝫𐄇,32,𐝫𐄈,30,𐄁𐘚,26,𐝫𐘤,26,𐝫𐄉,25,𐝫𐘤,26
𐄁𐘱,25,𐘙𐄇,17,𐄐𐄈,16,𐝫𐘚,23,𐘅𐘤,14,𐄐𐄉,12,𐘅𐘤,14
𐘮𐘱,13,𐘝𐄇,11,𐘝𐄈,12,𐘳𐘚,21,𐘇𐘤, 8,𐙍𐄉, 6,𐘇𐘤, 8
𐘂𐘱, 9,𐄐𐄇, 9,𐄑𐄈, 6,𐘀𐘚, 6,𐄁𐘤, 7,𐄑𐄉, 5,𐄁𐘤, 7
𐘚𐘱, 9,𐘗𐄇, 9,𐘳𐄈, 6,𐘾𐘚, 5,𐄇𐘤, 5,𐄒𐄉, 5,𐄇𐘤, 5
𐘇𐘱, 5,𐘘𐄇, 9,𐘙𐄈, 5,𐙁𐘚, 5,𐘱𐘤, 5,𐄓𐄉, 4,𐘱𐘤, 5
𐘭𐘱, 5,𐘠𐄇, 9,𐜋𐄈, 5,𐙠𐘚, 5,𐙁𐘤, 5,𐘚𐄉, 4,𐙁𐘤, 5
𐘃𐘱, 4,𐘅𐄇, 7,𐄕𐄈, 4,𐄐𐘚, 4,𐘀𐘤, 4,𐘤𐄉, 4,𐘀𐘤, 4
𐘈𐘱, 4,𐘯𐄇, 7,𐘃𐄈, 4,𐄉𐘚, 3,𐘚𐘤, 4,𐜉𐄉, 4,𐘚𐘤, 4
𐘤𐘱, 4,𐘹𐄇, 7,𐘆𐄈, 4,𐘂𐘚, 3,𐄌𐘤, 3,𐄔𐄉, 3,𐄌𐘤, 3
𐄉𐘱, 3,𐘻𐄇, 7,𐘸𐄈, 4,𐘄𐘚, 3,𐘈𐘤, 3,𐙋𐄉, 3,𐘈𐘤, 3
𐘆𐘱, 3,𐘆𐄇, 6,𐄔𐄈, 3,𐘅𐘚, 3,𐘗𐘤, 3,𐙘𐄉, 3,𐘗𐘤, 3
𐘘𐘱, 3,𐘳𐄇, 6,𐄖𐄈, 3,𐙇𐘚, 3,𐘟𐘤, 3,𐜎𐄉, 3,𐘟𐘤, 3
𐘙𐘱, 3,𐄒𐄇, 5,𐘅𐄈, 3,𐄇𐘚, 2,𐘿𐘤, 3,𐘆𐄉, 2,𐘿𐘤, 3
𐘞𐘱, 3,𐘃𐄇, 5,𐘘𐄈, 3,𐄍𐘚, 2,𐄈𐘤, 2,𐘈𐄉, 2,𐄈𐘤, 2
𐘳𐘱, 3,𐘱𐄇, 5,𐘴𐄈, 3,𐘃𐘚, 2,𐄉𐘤, 2,𐘖𐄉, 2,𐄉𐘤, 2
𐘴𐘱, 3,𐘸𐄇, 5,𐜓𐄈, 3,𐘇𐘚, 2,𐘆𐘤, 2,𐘝𐄉, 2,𐘆𐘤, 2
𐄇𐘱, 2,𐙋𐄇, 5,𐄓𐄈, 2,𐘋𐘚, 2,𐘍𐘤, 2,𐘳𐄉, 2,𐘍𐘤, 2
𐘅𐘱, 2,𐙍𐄇, 5,𐘈𐄈, 2,𐘙𐘚, 2,𐘥𐘤, 2,𐘸𐄉, 2,𐘥𐘤, 2
𐘝𐘱, 2,𐄑𐄇, 4,𐘍𐄈, 2,𐘭𐘚, 2,𐘭𐘤, 2,𐙀𐄉, 2,𐘭𐘤, 2
𐘣𐘱, 2,𐄓𐄇, 4,𐘗𐄈, 2,𐘱𐘚, 2,𐘸𐘤, 2,𐙂𐄉, 2,𐘸𐘤, 2
𐘻𐘱, 2,𐘂𐄇, 4,𐘚𐄈, 2,𐝆𐘚, 2,𐘾𐘤, 2,𐙈𐄉, 2,𐘾𐘤, 2
𐄈𐘱, 1,𐘈𐄇, 4,𐘠𐄈, 2,—𐘚, 1,𐙄𐘤, 2,𐜗𐄉, 2,𐙄𐘤, 2
𐄊𐘱, 1,𐘐𐄇, 4,𐘫𐄈, 2,𐄂𐘚, 1,𐙅𐘤, 2,𐜚𐄉, 2,𐙅𐘤, 2
𐄋𐘱, 1,𐘴𐄇, 4,𐙈𐄈, 2,𐄑𐘚, 1,𐝄𐘤, 2,𐄘𐄉, 1,𐝄𐘤, 2
𐄌𐘱, 1,𐘾𐄇, 4,𐙋𐄈, 2,𐄗𐘚, 1,𐝆𐘤, 2,𐄈𐄉, 1,𐝆𐘤, 2
𐄍𐘱, 1,𐙈𐄇, 4,𐙌𐄈, 2,𐄈𐘚, 1,—𐘤, 1,𐘁𐄉, 1,—𐘤, 1
𐘄𐘱, 1,𐙉𐄇, 4,𐙍𐄈, 2,𐄋𐘚, 1,𐄐𐘤, 1,𐘂𐄉, 1,𐄐𐘤, 1
