doc_id,text
AN Zb 1,𐘃
AP Za <3>,𐝫𐘱𐝫
AP Za 1,𐘱𐘳𐘚𐙕𐘉𐘱𐄁𐝫
AP Za 2,𐝫𐘅𐘤𐄁𐘚𐘢𐘅𐙁𐝫𐄁𐝫𐘚𐙂𐘰𐘅𐘹𐘅𐘃𐝫𐝫𐘢𐘻𐘅𐘃𐄁𐘚𐘅𐘱𐘙𐘳𐝫𐄁𐝫𐘌𐄁
AR Zf 1,𐘚𐘀𐙁𐘃
AR Zf 2,𐘚𐘀𐙁𐘃𐝫
ARG Zg 1,𐘮≈𐙍𐘻
ARKH 1 a,𐝫𐘳𐘢𐄁𐘌𐝫𐘸𐝫𐄁𐘇𐘴𐝫𐝫𐘇𐘲𐘻𐙈𐝫𐘗𐄈𐝆𐘇𐘂𐝫𐘻𐘸𐘞𐘗𐝫
ARKH 1 a f,𐝫𐝫𐘇𐝫𐝫
ARKH 1 b,𐘇𐝫𐘱𐘙𐄉𐝫𐝫𐘰𐝫𐝫—𐝫𐘅𐄎
ARKH 2,𐘤𐘀𐘃𐙂𐘴𐙎𐄋𐘇𐘤𐘀𐘄𐘚𐄐𐄈𐙀𐙕𐘈𐘦𐘐𐙈𐄌𐘇𐘲𐘫𐘮𐄊𐘘𐘻𐝫
ARKH 3 a,𐝫𐘾𐘗𐙉𐝫𐝫𐝂𐙋𐄉𐝂𐙎𐄈𐝫𐄈𐝫𐙩𐄈𐝫𐘸𐘯𐙉𐄐𐄉𐝫𐝫𐘃𐄈𐙩𐄈𐙢𐄈𐝫𐝫𐙂𐄉𐝫
ARKH 3 b,𐝫𐘱𐘢𐙉𐄌𐝫𐝫𐘢𐙦𐙉𐄇𐝫𐙖𐝫𐝫𐄈𐙖𐄊𐝫𐙍𐄇𐝫
ARKH 4 a,𐝫𐝫𐘝𐘳𐝫𐝫𐘳𐄁𐘙𐄋𐘇𐝫𐄁𐝫𐘶𐄊𐘦𐘲𐝫𐄁𐝫𐘨𐘃𐄋𐘢𐘠𐘗𐘇𐝫𐝫
ARKH 4 b,𐝫𐝫𐝫𐘙𐄐𐘉𐝫𐝫𐘦𐘻𐄐𐘚𐘨𐝫𐄏𐘇𐘸𐘁𐄉𐘍𐘤𐙀𐝫𐄉𐝫
ARKH 5,𐘇𐘬𐘝𐘳𐘅𐄓𐄇𐝫𐝫𐄍𐘇𐘀𐘁𐙉𐄓𐝫𐙎𐄌𐘇𐝫𐝫
ARKH 6,𐘀𐘅𐘹𐄁𐙂𐝫𐝫𐘃𐘭𐝫𐝫
ARKH 7,𐝫—𐙜𐝂𐝫
ARKH Zb 10,𐘞≈𐘳𐙁𐝫
ARKH Zc 8,𐙚𐘳𐘧
ARKH Zf 9,𐘱𐘸𐘤𐘸𐘯𐄁𐘻𐘀𐙁𐘽𐄁
ARM Zg 1,𐜈
CR (?) Zf 1,𐘇𐙁𐘮𐘤𐄁𐘾𐘝𐘱𐘻𐄁𐘚𐘱𐄁𐘌𐘸𐘈𐘯𐘠𐄁𐘇𐘳𐘦
CR Zf 5,𐘱
CR Zg 3,𐙍𐝫≈𐘝≈𐛿
CR Zg 4,𐘚𐘀𐘀𐘇𐘁𐘃
FO Zc 1,𐙚𐘳𐘧
GO 2 r,𐝫𐘤𐝫𐘾𐝄𐘤𐄈𐘀𐝫𐘤𐘀𐘁𐝃𐝫𐝫𐘈𐝫𐝫
GO 2 v,𐝫𐝫𐄇𐝄𐘀𐝫𐘙𐄇𐝫𐘈𐘤𐝫𐝫𐝫
GO Wc 1 a,𐘇𐘞𐘲𐙁𐘚𐘈
GO Wc 1 b,𐘖𐄋
