,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5
class A,0,0.125,0,0.5,0.375
class B,0.058823529,0.176470588,0,0.352941176,0.411764706
class C,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667
class E,0.043478261,0.47826087,0.043478261,0.391304348,0.043478261
class F,0,0.090909091,0.181818182,0.636363636,0.090909091
class G,0.333333333,0,0.333333333,0,0.333333333
class K,0.5,0,0,0.5,0
class L,1,0,0,0,0
class M,0.1,0.12,0.06,0.62,0.08
class N,0.375,0.25,0.125,0,0.25
class O,0.5,0,0,0.5,0
class P,0,0.285714286,0.285714286,0.285714286,0.142857143
class U,0.2,0.266666667,0.333333333,0.066666667,0.066666667
class V,0,0.136363636,0.181818182,0.318181818,0.363636364
class X,0.222222222,0.074074074,0.148148148,0.37037037,0.074074074
