,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5
class 1,0.428571429,0.142857143,0.2,0.142857143,0.085714286
class 10,0,0,0.6,0.4,0
class 11,0.333333333,0,0,0,0.666666667
class 12,0.162162162,0.189189189,0.351351351,0.189189189,0.108108108
class 2,0.205882353,0.235294118,0.088235294,0.235294118,0.235294118
class 3,0,0,0,0.142857143,0.857142857
class 4,0.666666667,0,0.333333333,0,0
class 5,0.192307692,0.192307692,0.269230769,0.153846154,0.192307692
class 6,0,0.5,0,0.5,0
class 7,0.227272727,0.272727273,0.090909091,0.227272727,0.181818182
class 8,0,0,0,0,1
class 9,0.238095238,0.285714286,0.19047619,0.047619048,0.238095238
