"","V1"
"AN Zb 1",5
"AP Za <3>",4
"AP Za 1",2
"AP Za 2",2
"AR Zf 1",5
"AR Zf 2",5
"ARG Zg 1",1
"ARKH 1 a",2
"ARKH 1 a f",4
"ARKH 1 b",4
"ARKH 2",3
"ARKH 3 a",1
"ARKH 3 b",4
"ARKH 4 a",4
"ARKH 4 b",3
"ARKH 5",2
"ARKH 6",4
"ARKH 7",1
"ARKH Zb 10",2
"ARKH Zc 8",1
"ARKH Zf 9",5
"ARM Zg 1",4
"CR (?) Zf 1",2
"CR Zf 5",2
"CR Zg 3",1
"CR Zg 4",3
"FO Zc 1",1
"GO 2 r",1
"GO 2 v",4
"GO Wc 1 a",2
"GO Wc 1 b",1
"GO Wc 3",1
"HS Zg 1",2
"HT 1",3
"HT 10 a",3
"HT 10 b",2
"HT 100",1
"HT 101",1
"HT 102",3
"HT 103",3
"HT 104",3
"HT 105",3
"HT 106",5
"HT 107",4
"HT 108",3
"HT 109",3
"HT 11 a",2
"HT 11 b",3
"HT 110 a",3
"HT 110 b",1
"HT 111 a",3
"HT 111 b",4
"HT 112 a",4
"HT 112 b",4
"HT 113",4
"HT 113 ter",4
"HT 114 a",1
"HT 114 b",3
"HT 115 a",2
"HT 115 b",2
"HT 116 a",1
"HT 116 b",3
"HT 117 a",5
"HT 117 b",5
"HT 118",3
"HT 119",3
"HT 12",3
"HT 120",3
"HT 121",1
"HT 122 a",5
"HT 122 b",3
"HT 123 a",3
"HT 123 b",5
"HT 125 a",1
"HT 125 b",3
"HT 126 a",2
"HT 126 b",4
"HT 127 a",5
"HT 127 b",3
"HT 128 a",5
"HT 128 b",4
"HT 129",1
"HT 13",3
"HT 130",1
"HT 131 a",1
"HT 131 b",4
"HT 132",3
"HT 133",2
"HT 135 a",5
"HT 135 b",4
"HT 136",4
"HT 136 a",4
"HT 136 b",4
"HT 137",1
"HT 139",4
"HT 14",1
"HT 140",1
"HT 141",4
"HT 142",4
"HT 144",4
"HT 146",3
"HT 147",4
"HT 15",3
"HT 154",4
"HT 154 A",4
"HT 154 B",1
"HT 154 C",1
"HT 154 E",1
"HT 154 G",4
"HT 154 J a",4
"HT 154 J b",4
"HT 154 K",4
"HT 154 L",4
"HT 154 M",4
"HT 154 N",4
"HT 16",2
"HT 17",3
"HT 18",1
"HT 19",2
"HT 2",3
"HT 20",2
"HT 21",5
"HT 22",3
"HT 23 a",3
"HT 23 b",4
"HT 24 a",3
"HT 24 b",5
"HT 25 a",5
"HT 25 b",3
"HT 26 a",5
"HT 26 b",1
"HT 27 a",3
"HT 27 b",2
"HT 28 a",1
"HT 28 b",1
"HT 29",5
"HT 3",4
"HT 30",1
"HT 31",3
"HT 32",1
"HT 33",1
"HT 34",3
"HT 35",1
"HT 36",3
"HT 37",3
"HT 38",1
"HT 39",4
"HT 4",5
"HT 40",3
"HT 41 a",1
"HT 41 b",4
"HT 42 + 59",1
"HT 43",2
"HT 44 a",4
"HT 44 b",4
"HT 45 a",1
"HT 45 b",1
"HT 46 a",3
"HT 46 b",4
"HT 47 a",3
"HT 47 b",4
"HT 49 a",5
"HT 49 b",4
"HT 5",4
"HT 50 a",1
"HT 50 b",4
"HT 51 a",4
"HT 51 b",4
"HT 52 a",2
"HT 52 b",4
"HT 53 a",4
"HT 53 b",4
"HT 54 a",4
"HT 54 b",4
"HT 55 a",5
"HT 55 b",4
"HT 56 a",4
"HT 56 b",4
"HT 57 a",4
"HT 57 b",1
"HT 58",3
"HT 6 a",3
"HT 6 b",3
"HT 60",1
"HT 61",4
"HT 62",4
"HT 62 + 73",1
"HT 63",5
"HT 64",1
"HT 65",4
"HT 66",4
"HT 67",4
"HT 68",4
"HT 69",4
"HT 7 a",2
"HT 7 b",5
"HT 70",4
"HT 72",4
"HT 73",4
"HT 73 + 62",4
"HT 74",4
"HT 75",4
"HT 78",4
"HT 79 + 83",4
"HT 8 a",1
"HT 8 b",5
"HT 80",4
"HT 81",2
"HT 82",4
"HT 84",4
"HT 85 a",3
"HT 85 b",5
"HT 86 a",3
"HT 86 b",2
"HT 87",5
"HT 88",3
"HT 89",1
"HT 9 a",3
"HT 9 b",2
"HT 90",1
"HT 91",1
"HT 92",2
"HT 93 a",3
"HT 93 b",3
"HT 94 a",3
"HT 94 b",5
"HT 95 a",3
"HT 95 b",3
"HT 96 a",2
"HT 96 b",1
"HT 97 a",3
"HT 97 b",1
"HT 98 a",5
"HT 98 b",4
"HT 99 a",1
"HT 99 b",5
"HT W 231A",3
"HT W 231B",1
