AB001,𐘀,,B001,𐀅,DA
AB002,𐘁,,B002,𐀫,RO
AB003,𐘂,,B003,𐀞,PA
AB004,𐘃,,B004,𐀳,TE
AB005,𐘄,,B005,𐀵,TO
AB006,𐘅,,B006,𐀙,NA
AB007,𐘆,,B007,𐀇,DI
AB008,𐘇,,B008,𐀀,A
AB009,𐘈,,B009,𐀮,SE
AB010,𐘉,,B010,𐀄,U
AB011,𐘊,,B011,𐀡,PO
,,,B012,𐀰,SO
AB013,𐘋,,B013,𐀕,ME
,,,B014,𐀈,DO
,,,B015,𐀗,MO
AB016,𐘌,,B016,𐀣,QA
AB017,𐘍,,B017,𐀼,ZA
,,,B018,𐁐,
,,,B019,𐁑,
AB020,𐘎,,B020,𐀿,ZO
AB021,𐘏,sheep,"B021, B106",𐀥,"QI, sheep"
AB021F,𐘐,ewe,,,
AB021M,𐘑,ram,,,
AB022,𐘒,goat,"B022, B107",𐁒,goat
AB022F,𐘓,she-goat,,,
AB022M,𐘔,he-goat,,,
AB023,𐘕,bovine,"B023, B109",𐀘,"MU, ox"
AB023M,𐘖,bull,,,
AB024,𐘗,,B024,𐀚,NE
,,,B025,𐁀,A2
AB026,𐘘,,B026,𐀬,RU
AB027,𐘙,,B027,𐀩,RE
AB028,𐘚,,B028,𐀂,I
A028B,𐘛,,,,
AB029,𐘜,,B029,𐁆,PU2
AB030,𐘝,figs,B030,𐀛,"NI, figs"
AB031,𐘞,,B031,𐀭,"SA, flax"
,,,B032,𐀦,QO
,,,"B033, B144",𐁉,"RA3, saffron"
AB034,𐘟,,B034,𐁓,
,,,B036,𐀍,JO
AB037,𐘠,,B037,𐀴,TI
AB038,𐘡,,B038,𐀁,E
AB039,𐘢,,B039,𐀠,PI
AB040,𐘣,,B040,𐀹,WI
AB041,𐘤,,B041,𐀯,SI
,,,B042,𐀺,WO
,,,B043,𐁁,A3
AB044,𐘥,,B044,𐀐,KE
AB045,𐘦,,B045,𐀆,DE
AB046,𐘧,,B046,𐀋,JE
AB047,𐘨,,B047,𐁔,
AB048,𐘩,,B048,𐁅,NWA
AB049,𐘪,,B049,𐁕,
AB050,𐘫,,B050,𐀢,PU
AB051,𐘬,,B051,𐀉,DU
,,,B052,𐀜,NO
AB053,𐘭,,B053,𐀪,RI
AB054,𐘮,cloth,B054,𐀷,WA
AB055,𐘯,,B055,𐀝,NU
AB056,𐘰,,B056,𐁖,
AB057,𐘱,,B057,𐀊,JA
AB058,𐘲,,B058,𐀱,SU
AB059,𐘳,,B059,𐀲,TA
AB060,𐘴,,B060,𐀨,RA
AB061,𐘵,,B061,𐀃,O
,,,B062,𐁇,PTE
,,,B063,𐁗,
,,,B064,𐁘,
AB065,𐘶,,"B065, B129",𐀎,"JU, flour"
AB066,𐘷,,B066,𐁋,TA2
AB067,𐘸,,B067,𐀑,KI
,,,B068,𐁊,RO2
AB069,𐘹,,B069,𐀶,TU
AB070,𐘺,,B070,𐀒,KO
,,,B071,𐁃,DWE
,,,B072,𐀟,PE
AB073,𐘻,,B073,𐀖,MI
AB074,𐘼,,B074,𐀽,ZE
,,,B075,𐀸,WE
AB076,𐘽,,B076,𐁈,RA2
AB077,𐘾,,B077,𐀏,KA
AB078,𐘿,,B078,𐀤,QE
AB079,𐙀,,B079,𐁙,
AB080,𐙁,,B080,𐀔,MA
AB081,𐙂,,B081,𐀓,KU
AB082,𐙃,,B082,𐁚,
,,,B083,𐁛,
AB085,𐙄,pig,"B085, B108",𐁂,"AU, pig"
AB086,𐙅,,B086,𐁜,
AB087,𐙆,,B087,𐁌,TWE
,,,B089,𐁝,
,,,B090,𐁄,DWO
,,,B091,𐁍,TWO
,,,B100,𐂀,man
A100-102,𐙇,"man, woman",B 74; b100,,
,,,B102,𐂁,woman
,,,B104,𐂂,deer
,,,B105,𐂃,equid
,,,B105F,𐂄,mare
,,,B105M,𐂅,stallion
,,,B106F,𐂆,ewe
,,,B106M,𐂇,ram
,,,B107F,𐂈,she-goat
,,,B107M,𐂉,he-goat
,,,B108F,𐂊,sow
,,,B108M,𐂋,boar
,,,B109F,𐂌,cow
,,,B109M,𐂍,bull
,,,B110,𐄿,measure subunit 3
,,,B111,𐄾,measure subunit 2
,,,B112,𐄼,dry subunit 1
,,,B113,𐄽,liquid subunit 1
,,,B114,𐄻,weight subunit 4
,,,B115,𐄺,weight subunit 3
,,,B116,𐄹,weight subunit 2
,,,B117,𐄸,weight subunit 1
AB118,𐙈,,B118,𐄷,weight base unit
AB120,𐙉,grain,B120,𐂎,wheat
A120B,𐙊,grain,,,
,,,B121,𐂏,barley
AB122,𐙋,olives,B122,𐂐,olive
AB123,𐙌,,B123,𐂑,spice
,,,B125,𐂒,cyperus
,,,B127,𐂓,"kapo, fruit"
,,,B128,𐂔,"kanako, saffron"
,,,B130,𐂕,oil
AB131A,𐙍,wine,B131,𐂖,wine
AB131B,𐙎,wine,,,
A131C,𐙏,wine,,,
,,,B132,𐂗,
,,,B133,𐂘,"arepa, ointment"
,,,B135,𐂙,"meri, honey"
,,,B140,𐂚,bronze
,,,B141,𐂛,gold
,,,B142,𐂜,
,,,B145,𐂝,wool
,,,B146,𐂞,
,,,B150,𐂟,
,,,B151,𐂠,horn
,,,B152,𐂡,
,,,B153,𐂢,
,,,B154,𐂣,
,,,B155,𐃞,vessel
,,,B156,𐂤,"turo2, cheese"
,,,B157,𐂥,
