cluster 8,cluster 9,cluster 10,cluster 7,cluster 2,cluster 12,cluster 6,cluster 15,cluster 11,cluster 5,cluster 13,cluster 1,cluster 3,cluster 4,cluster 14
0.22727272727272727,0.09090909090909091,0.13636363636363635,0.045454545454545456,0,0.13636363636363635,0.045454545454545456,0.045454545454545456,0,0.13636363636363635,0.045454545454545456,0,0.045454545454545456,0.045454545454545456,0
0.09090909090909091,0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.2727272727272727,0,0.09090909090909091,0.18181818181818182,0,0,0,0,0.09090909090909091,0
0,0,0,0.25,0,0.375,0,0.125,0.125,0,0,0,0,0,0.125
0,0.058823529411764705,0.23529411764705882,0,0.058823529411764705,0.17647058823529413,0.11764705882352941,0,0.058823529411764705,0.11764705882352941,0,0,0.058823529411764705,0.058823529411764705,0.058823529411764705
0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0,0,0,0,0,0,0
0.16,0.06,0.06,0.04,0.14,0.04,0.1,0.18,0.04,0.04,0.04,0.06,0,0.02,0
0.08695652173913043,0,0.08695652173913043,0.08695652173913043,0.17391304347826086,0.21739130434782608,0,0.13043478260869565,0.08695652173913043,0,0.08695652173913043,0,0,0.043478260869565216,0
0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5
0,0,0.25,0.125,0.375,0,0,0,0,0,0.25,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
0,0.16666666666666666,0,0,0,0,0,0.16666666666666666,0.3333333333333333,0,0,0,0,0,0.16666666666666666
0.06666666666666667,0.06666666666666667,0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0,0.2,0.3333333333333333,0.06666666666666667,0,0,0,0,0
0,0,0,0,0.07407407407407407,0.25925925925925924,0,0.037037037037037035,0.48148148148148145,0.037037037037037035,0,0,0,0,0
0,0,0,0,0.3333333333333333,0,0,0,0.6666666666666666,0,0,0,0,0,0
