name,fractions
ARKH 1 a,𐝆
ARKH 3 a,𐝫𐝂 𐝂
ARKH 3 b,𐝫
ARKH 7,𐝂
GO 2 r,𐝄 𐝃𐝫
GO 2 v,𐝄
HT 10 a,𐝆 𐝆
HT 10 b,𐝆 𐝃
HT 100,𐝫 𐝃 𐝂𐝂 𐝆 𐝅 𐝆𐝃
HT 101,𐝃
HT 103,𐝆 𐝆
HT 104,𐝆 𐝆
HT 106,𐝆
HT 110 b,𐝆 𐝆𐝫 𐝆𐝃
HT 113,𐝆
HT 115 a,𐝆 𐝂𐝂𐝂𐝂 𐝂𐝫
HT 115 b,𐝆 𐝆 𐝆
HT 118,𐘸𐄐 𐘸𐄊 𐘸𐄇 𐘸𐄐𐄋𐝫
HT 12,𐝇
HT 120,𐝆𐝀 𐝂
HT 123 a,𐝃 𐝎 𐝆 𐝆𐝃 𐝎 𐝀𐝫 𐝆𐝃 𐝃 𐝆𐝃 𐝆 𐝅
HT 123 b,𐝆𐝃 𐝆𐝉 𐝀 𐝃𐝄
HT 125 a,𐝂 𐝆𐝫
HT 125 b,𐝆
HT 126 a,𐝫𐝆
HT 128 a,𐝆𐝫
HT 129,𐝆𐝁 𐝆
HT 13,𐝆𐝫 𐝆 𐝆
HT 131 a,𐝆 𐝆𐝃
HT 131 b,𐝆𐝫
HT 139,𐝆
HT 140,𐝆 𐝆𐝫 𐝆
HT 147,𐝅 𐝫𐝆
HT 154 C,𐝆𐝫
HT 154 E,𐝃
HT 154 G,𐝆𐝫
HT 16,𐝄 𐝁 𐝃𐝄 𐝇
HT 19,𐝆 𐝆
HT 20,𐝃 𐝆 𐝄 𐝄 𐝃 𐝆
HT 21,𐝕 𐝕 𐝃
HT 23 a,𐝁 𐝅 𐝅 𐝅 𐝅 𐝅 𐝇 𐝇
HT 23 b,𐝁 𐝁
HT 24 a,𐝆
HT 24 b,𐝆𐝃 𐝆𐝃
HT 27 a,𐝆𐝃𐝁 𐝁
HT 28 a,𐝆 𐝉
HT 28 b,𐝃
HT 30,𐝆 𐝂 𐝆 𐝓 𐝂 𐝆 𐝓 𐝆 𐝫𐝂 𐝂
HT 32,𐝆 𐝆𐝇 𐝇
HT 33,𐝃 𐝉𐝋𐝫 𐝃𐝉 𐝂
HT 34,𐝫𐝁 𐝅𐝇 𐝀 𐝃 𐝇 𐝄
HT 35,𐝁 𐝁 𐝁 𐝇 𐝂
HT 36,𐝆 𐝆
HT 41 a,𐝂𐝂
HT 42 + 59,𐝫𐝆𐝃
HT 45 a,𐝫𐝉
HT 45 b,𐝂𐝂 𐝉 𐝃 𐝉 𐝁 𐝃 𐝃
HT 46 a,𐝆
HT 46 b,𐝆
HT 50 a,𐝫𐝃 𐝃 𐝆 𐝆 𐝆𐝫 𐝃𐝄
HT 51 b,𐝆𐝄
HT 56 a,𐝆
HT 57 a,𐝫𐝄𐝫
HT 6 a,𐝓 𐝕 𐝕 𐝆
HT 6 b,𐝅 𐝃 𐝆
HT 60,𐝇 𐝫𐝇 𐝇 𐝉𐝫
HT 62,𐝃 𐝃
HT 65,𐝇𐝫
HT 70,𐝃𐝫
HT 8 a,𐝆 𐝆 𐝕 𐝃 𐝆
HT 8 b,𐝃𐝄 𐝆 𐝄 𐝆 𐝆
HT 81,𐝅𐝫 𐝋
HT 82,𐝇𐝫 𐝃𐝫
HT 89,𐝆𐝃 𐝃
HT 9 a,𐝆𐝃 𐝆 𐝆 𐝃 𐝆𐝃
HT 91,𐝎 𐝀 𐝀 𐝀 𐝀 𐝀 𐝀 𐝀 𐝀
HT 93 a,𐝆 𐝆𐝅 𐝆𐝃 𐝆 𐝄𐝫
HT 93 b,𐝅
HT 94 a,𐝅 𐝂𐝂 𐝂𐝂 𐝆 𐝂
HT 96 b,𐝆𐝃 𐝇
HT 98 a,𐝆𐝃 𐝆 𐝆𐝃 𐝆 𐝃
HT 98 b,𐝆𐝃 𐝇
HT 99 a,𐝅
