name,ideograms
ARKH 1 a,𐘌𐝫 𐝫𐘸𐝫 𐝫𐄁 𐝫𐘗
ARKH 1 a f,𐝫𐘇𐝫
ARKH 1 b,𐝫𐘰𐝫 𐝫𐘅
ARKH 2,𐙎
ARKH 3 a,𐙉𐝫 𐙋 𐙎 𐙩 𐙉 𐝫𐘃 𐙩 𐙢
ARKH 3 b,𐙉 𐙉 𐙖𐝫 𐙖 𐝫𐙍
ARKH 4 a,𐘙
ARKH 5,𐙉 𐙎
ARKH 7,𐙜
GO 2 r,𐘤𐝫 𐘾 𐘤 𐘀𐝫
GO 2 v,𐝫 𐘀𐝫 𐘙
HT 10 a,𐄁𐘂𐄁 𐙕
HT 100,𐝫𐛧 𐜝𐝫 𐛃 𐘸 𐙙 𐛩 𐙗 𐘝 𐙍 𐜋 𐜗 𐜍
HT 101,𐛱 𐜋 𐜗 𐜓 𐙉 𐙖 𐚸 𐝫𐜋 𐙘 𐜓 𐙋 𐛺
HT 102,𐙉 𐛭 𐝫𐙇𐛭 𐘣
HT 103,𐘝 𐘰 𐙓
HT 104,𐄁𐚷𐄁
HT 105,𐝫 𐝫𐙇 𐙇
HT 106,𐙗 𐘤 𐘤 𐝫𐘤
HT 107,𐝫 𐘃 𐙸
HT 108,𐙇 𐛶
HT 109,𐝫𐘙 𐝫 𐝫𐘳
HT 11 b,𐙅𐘾 𐘾 𐘾 𐘾 𐘾
HT 110 a,𐜚 𐝫𐘝
HT 110 b,𐙉𐝫 𐜧 𐙁 𐘝 𐙁 𐙕
HT 111 a,𐝫 𐘆 𐝫𐘝𐝫
HT 111 b,𐝫𐘝
HT 112 a,𐘐𐝫 𐝫
HT 112 b,𐝫𐙗 𐝫 𐝫
HT 113,𐘵
HT 114 a,𐙉 𐙖 𐘝 𐙍 𐘖
HT 114 b,𐘞𐙍
HT 115 a,𐄁𐘚𐄁𐛯
HT 115 b,𐙉 𐄁𐘚 𐜞
HT 116 a,𐄁𐘃𐄁 𐙉 𐙉 𐜉 𐙉 𐜓 𐜗 𐙋 𐙉 𐙖𐝫 𐜗 𐛺 𐙉 𐙘 𐙉 𐙘
HT 116 b,𐙉 𐙘 𐙖
HT 118,𐙄𐄁𐛀𐄁
HT 119,𐙳 𐙇 𐘠
HT 12,𐜉 𐙘 𐚻 𐘡 𐛢𐄁𐙈 𐜚 𐘝 𐚼
HT 120,𐛷 𐛭 𐄁𐘚𐛭 𐛳 𐛭
HT 121,𐜘 𐙉 𐙖 𐘝 𐙍 𐘖
HT 122 a,𐝫𐘬
HT 122 b,𐄁𐚆𐄁𐙇𐝫 𐘆
HT 123 a,𐙋 𐙜 𐙋 𐙜 𐙋 𐙜 𐙋 𐙜 𐙋 𐙜𐄁
HT 123 b,𐙓𐙜 𐙢 𐙓
HT 125 a,𐝫𐜓 𐜋𐝫 𐝫𐜗 𐙉 𐙖𐝫
HT 125 b,𐝫 𐛭 𐛵 𐙘 𐘝
HT 126 a,𐄁𐙪𐄁𐝫 𐘉𐝫 𐘢𐝫
HT 126 b,𐝫𐙙 𐙆 𐄁𐘐𐝫 𐝫 𐝫𐙆𐝫 𐝫𐘹
HT 127 a,𐝫
HT 127 b,𐝫 𐝫𐘗 𐙛 𐙂 𐛫 𐛖 𐙕 𐛖
HT 128 a,𐙲𐄁 𐙉𐝫 𐛲 𐛭 𐛲 𐛲
HT 128 b,𐛲 𐛲 𐛲
HT 129,𐙉 𐙘 𐘝 𐙉 𐜉 𐝫𐜓 𐝫𐙖𐝫
HT 13,𐙍𐄁𐘃𐄁
HT 130,𐝫 𐝫𐘤 𐙗𐝫 𐝫 𐘤𐙗 𐘝 𐙍
HT 131 a,𐝫𐘝 𐙂𐝫 𐙉 𐝫𐙖 𐙘
