name,prob_word
AN Zb 1,𐘃
AP Za <3>,𐝫𐘱𐝫
AP Za 1,𐘱𐘳𐘚𐙕𐘉𐘱
AP Za 2,𐝫𐘅𐘤 𐘚𐘢𐘅𐙁𐝫 𐝫𐘚𐙂𐘰𐘅𐘹𐘅𐘃𐝫 𐝫𐘢𐘻𐘅𐘃 𐘚𐘅𐘱𐘙𐘳𐝫 𐝫𐘌
AR Zf 1,𐘚𐘀𐙁𐘃
AR Zf 2,𐘚𐘀𐙁𐘃𐝫
ARG Zg 1,𐘮 ≈ 𐙍𐘻
ARKH 1 a,𐝫𐘳𐘢 𐘌𐝫 𐝫𐘸𐝫 𐘇𐘴𐝫 𐝫𐘇𐘲𐘻𐙈𐝫 𐝫𐘗 𐘇𐘂𐝫 𐝫𐘻𐘸𐘞𐘗𐝫
ARKH 1 a f,𐝫𐘇𐝫
ARKH 1 b,𐘇𐝫 𐝫𐘱𐘙 𐝫𐘰𐝫 𐝫𐘅
ARKH 2,𐘤𐘀𐘃 𐙂𐘴 𐙎 𐘇𐘤𐘀𐘄𐘚 𐙀𐙕𐘈𐘦𐘐𐙈 𐘇𐘲𐘫𐘮 𐘘𐘻𐝫
ARKH 3 a,𐝫𐘾𐘗 𐙉𐝫 𐙋 𐙎 𐙩 𐝫𐘸𐘯 𐙉 𐝫𐘃 𐙩 𐙢 𐝫𐙂
ARKH 3 b,𐝫𐘱𐘢 𐙉 𐝫𐘢𐙦 𐙉 𐙖𐝫 𐙖 𐝫𐙍
ARKH 4 a,𐝫𐘝𐘳𐝫 𐝫𐘳 𐘙 𐘇𐝫 𐝫𐘶 𐘦𐘲𐝫 𐝫𐘨𐘃 𐘢𐘠𐘗𐘇𐝫
ARKH 4 b,𐝫𐘙 𐘉𐝫 𐝫𐘦𐘻 𐘚𐘨𐝫 𐘇𐘸𐘁 𐘍𐘤𐙀𐝫
ARKH 5,𐘇𐘬𐘝𐘳𐘅 𐘇𐘀𐘁 𐙉 𐙎 𐘇𐝫
ARKH 6,𐘀𐘅𐘹 𐙂𐝫 𐝫𐘃𐘭𐝫
ARKH 7,𐙜
ARKH Zb 10,𐘞 ≈ 𐘳𐙁𐝫
ARKH Zc 8,𐙚𐘳𐘧
ARKH Zf 9,𐘱𐘸𐘤𐘸𐘯 𐘻𐘀𐙁𐘽
ARM Zg 1,𐜈
CR (?) Zf 1,𐘇𐙁𐘮𐘤 𐘾𐘝𐘱𐘻 𐘚𐘱 𐘌𐘸𐘈𐘯𐘠 𐘇𐘳𐘦
CR Zf 5,𐘱
CR Zg 3,𐙍𐝫 ≈ 𐘝 ≈ 𐛿
CR Zg 4,𐘚𐘀𐘀 𐘇𐘁𐘃
FO Zc 1,𐙚𐘳𐘧
GO 2 r,𐘤𐝫 𐘾 𐘤 𐘀𐝫 𐘤𐘀𐘁 𐝫𐘈𐝫
GO 2 v,𐘀𐝫 𐘙 𐘈𐘤𐝫
GO Wc 1 a,𐘇𐘞𐘲𐙁𐘚𐘈
GO Wc 1 b,𐘖
GO Wc 3,𐝬
HS Zg 1,𐘇𐙁
HT 1,𐘿𐘽𐘉 𐘸𐘁 𐙀𐘲 𐘆𐘆𐘍𐘥 𐙂𐘰𐘯 𐘇𐘴𐘅𐘙
HT 10 a,𐙂𐘝𐘲 𐘞𐙁 𐘂 𐘀𐘙 𐘉𐙱𐘍 𐙕 𐘉𐙱𐘍 𐙙𐘘 𐘀𐘭𐘀 𐘋𐘍
HT 10 b,𐘉𐘠 𐘀𐘙 𐘳𐘭𐘅 𐙢𐘳 𐘾𐘞𐘘 𐘳𐘅𐘠
