doc_id,text
AN Zb 1, 𐘃 
AP Za <3>, 𐝫 𐘱 𐝫 
AP Za 1, 𐘱 𐘳 𐘚 𐙕 𐘉 𐘱 𐄁 𐝫 
AP Za 2, 𐝫 𐘅 𐘤 𐄁 𐘚 𐘢 𐘅 𐙁 𐝫 𐄁 𐝫 𐘚 𐙂 𐘰 𐘅 𐘹 𐘅 𐘃 𐝫   𐝫 𐘢 𐘻 𐘅 𐘃 𐄁 𐘚 𐘅 𐘱 𐘙 𐘳 𐝫 𐄁 𐝫 𐘌 𐄁 
AR Zf 1, 𐘚 𐘀 𐙁 𐘃 
AR Zf 2, 𐘚 𐘀 𐙁 𐘃 𐝫 
ARG Zg 1, 𐘮   ≈   𐙍 𐘻 
ARKH 1 a, 𐝫 𐘳 𐘢 𐄁 𐘌 𐝫 𐘸   𐝫 𐄁 𐘇 𐘴 𐝫   𐝫   𐘇 𐘲 𐘻 𐙈 𐝫   𐘗 𐄈 𐝆 𐘇 𐘂 𐝫   𐘻 𐘸 𐘞 𐘗 𐝫 
ARKH 1 a f, 𐝫   𐝫 𐘇 𐝫   𐝫 
ARKH 1 b, 𐘇 𐝫 𐘱 𐘙 𐄉 𐝫   𐝫 𐘰 𐝫   𐝫   —   𐝫 𐘅 𐄎 
ARKH 2, 𐘤 𐘀 𐘃 𐙂 𐘴   𐙎 𐄋 𐘇 𐘤 𐘀 𐘄   𐘚 𐄐 𐄈 𐙀 𐙕 𐘈   𐘦 𐘐 𐙈 𐄌   𐘇 𐘲 𐘫 𐘮   𐄊 𐘘 𐘻 𐝫 
ARKH 3 a, 𐝫 𐘾 𐘗 𐙉 𐝫   𐝫 𐝂 𐙋 𐄉 𐝂 𐙎 𐄈 𐝫   𐄈 𐝫 𐙩 𐄈 𐝫   𐘸 𐘯 𐙉 𐄐 𐄉 𐝫   𐝫 𐘃 𐄈 𐙩 𐄈 𐙢 𐄈 𐝫   𐝫 𐙂 𐄉 𐝫 
ARKH 3 b, 𐝫 𐘱 𐘢 𐙉 𐄌 𐝫   𐝫 𐘢 𐙦 𐙉 𐄇 𐝫 𐙖 𐝫   𐝫 𐄈 𐙖 𐄊   𐝫 𐙍 𐄇 𐝫 
ARKH 4 a, 𐝫   𐝫 𐘝 𐘳 𐝫   𐝫 𐘳 𐄁 𐘙 𐄋 𐘇 𐝫   𐄁 𐝫 𐘶 𐄊 𐘦 𐘲 𐝫 𐄁 𐝫   𐘨 𐘃 𐄋 𐘢 𐘠 𐘗   𐘇 𐝫   𐝫 
ARKH 4 b, 𐝫   𐝫   𐝫 𐘙 𐄐 𐘉 𐝫   𐝫 𐘦 𐘻 𐄐 𐘚 𐘨 𐝫   𐄏 𐘇 𐘸 𐘁 𐄉   𐘍 𐘤 𐙀 𐝫 𐄉   𐝫 
ARKH 5, 𐘇 𐘬 𐘝 𐘳 𐘅 𐄓 𐄇 𐝫   𐝫 𐄍 𐘇 𐘀 𐘁 𐙉 𐄓 𐝫   𐙎 𐄌 𐘇 𐝫   𐝫 
ARKH 6, 𐘀 𐘅 𐘹 𐄁 𐙂 𐝫   𐝫 𐘃 𐘭 𐝫   𐝫 
ARKH 7, 𐝫   —   𐙜 𐝂   𐝫 
ARKH Zb 10, 𐘞   ≈   𐘳 𐙁 𐝫 
ARKH Zc 8, 𐙚 𐘳 𐘧 
ARKH Zf 9, 𐘱 𐘸 𐘤 𐘸 𐘯 𐄁 𐘻 𐘀 𐙁 𐘽 𐄁 
ARM Zg 1, 𐜈 
