"","cluster 4","cluster 5","cluster 2","cluster 3","cluster 1"
"class V",0.318181818181818,0.363636363636364,0.136363636363636,0.181818181818182,0
"class F",0.636363636363636,0.0909090909090909,0.0909090909090909,0.181818181818182,0
"class N",0,0.25,0.25,0.125,0.375
"class B",0.352941176470588,0.411764705882353,0.176470588235294,0,0.0588235294117647
"class P",0.285714285714286,0.142857142857143,0.285714285714286,0.285714285714286,0
"class M",0.62,0.08,0.12,0.06,0.1
"class E",0.391304347826087,0.0434782608695652,0.478260869565217,0.0434782608695652,0.0434782608695652
"class L",0,0,0,0,1
"class O",0.5,0,0,0,0.5
"class A",0.5,0.375,0.125,0,0
"class K",0.5,0,0,0,0.5
"class C",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"class U",0.0666666666666667,0.0666666666666667,0.266666666666667,0.333333333333333,0.2
"class X",0.37037037037037,0.0740740740740741,0.0740740740740741,0.148148148148148,0.222222222222222
"class G",0,0.333333333333333,0,0.333333333333333,0.333333333333333
